PARK NAME, ZIP, PARK CLASS
MCINERNEY (THOMAS), 60609, NEIGHBORHOOD PARK
SCOTTSDALE, 60652, COMMUNITY PARK
AVALON, 60619, REGIONAL PARK
DOOLEY (THOMAS), 60652, NEIGHBORHOOD PARK
BRAINERD, 60620, COMMUNITY PARK
RIDGE, 60643, COMMUNITY PARK
D'ELIA (AILEEN), 60660, MINI-PARK
BATTLE OF FORT DEARBORN, 60616, PASSIVE PARK
PARK NO. 510, 60612, UNIMPROVED PARK
THILLENS, 60645, CITYWIDE PARK
REYES (GUADALUPE), 60608, MINI-PARK
DURKIN (MARTIN), 60652, COMMUNITY PARK
PARK NO. 529, 60647, UNIMPROVED PARK
HAZELNUT, 60644, MINI-PARK
HORNBEAM, 60623, MINI-PARK
TOUHY-HERBERT (JOHN, VICTOR), 60612, NEIGHBORHOOD PARK
MONTGOMERY (MABEL), 60629, MINI-PARK
POPLAR, 60653, MINI-PARK
MOZART (AMADEUS), 60647, COMMUNITY PARK
SHEIL (BERNARD) COMM. CTR., 60657, COMMUNITY PARK
RIVER ESPLANADE, 60611, PASSIVE PARK
KENMORE, 60657, MINI-PARK
TREBES, 60614, COMMUNITY PARK
JARVIS (R.J.) BEACH, 60626, NEIGHBORHOOD PARK
CRAGIN, 60639, NEIGHBORHOOD PARK
COLE (NAT KING), 60619, NEIGHBORHOOD PARK
HOLLY, 60653, MINI-PARK
RIDGE PARK WETLANDS, 60643, PASSIVE PARK
LUNT (ORRINGTON, STEPHEN), 60645, MINI-PARK
LERNER (LEO), 60645, COMMUNITY PARK
BURNSIDE (AMBROSE), 60619, COMMUNITY PARK
CLARENDON COMM. CTR., 60640, COMMUNITY PARK
LANE (GEORGE) BEACH, 60660, PASSIVE PARK
PARK NO. 422, 60624, NEIGHBORHOOD PARK
HARRIS (RYAN) MEMORIAL, 60621, NEIGHBORHOOD PARK
BIXLER (RAY), 60637, NEIGHBORHOOD PARK
GARIBALDI (GIUSEPPI), 60607, NEIGHBORHOOD PARK
AUSTIN TOWN HALL, 60644, COMMUNITY PARK
PARK NO. 540, 60616, UNIMPROVED PARK
SINTIC (GREGORY), 60616, MINI-PARK
WOOD (ELIZABETH), 60618, MINI-PARK
PARK NO. 382, 60620, NEIGHBORHOOD PARK
SEWARD (WILLIAM), 60610, COMMUNITY PARK
STARR (ELLEN GATES), 60612, NEIGHBORHOOD PARK
SUMAC, 60653, MINI-PARK
KEN-WELL, 60641, NEIGHBORHOOD PARK
WASHINGTON SQUARE, 60610, PASSIVE PARK
LOWE (SAMUEL), 60609, NEIGHBORHOOD PARK
EDGEBROOK, 60646, COMMUNITY PARK
OWENS (JESSE), 60617, COMMUNITY PARK
EUGENIE TRIANGLE, 60614, PASSIVE PARK
TAYLOR-LAURIDSEN (JOHN, EMIL), 60609, NEIGHBORHOOD PARK
PULLMAN (GEORGE), 60628, PASSIVE PARK
MCKIERNAN (DAVID), 60655, NEIGHBORHOOD PARK
PARK NO. 562, 60643, NATURE PRESERVE PARK
FILBERT, 60613, MINI-PARK
MARQUETTE (JACQUES), 60629, CITYWIDE PARK
TILL-MOBLEY (MAMIE), 60637, MINI-PARK
MAYFAIR, 60630, NEIGHBORHOOD PARK
FERNWOOD PKWY., 60628, PASSIVE PARK
SAIN (HARRY), 60612, NEIGHBORHOOD PARK
PARK NO. 515, 60624, COMMUNITY PARK
RIIS (JACOB), 60639, REGIONAL PARK
VIOLET, 60624, NEIGHBORHOOD PARK
HIAWATHA, 60634, COMMUNITY PARK
UNION, 60606, COMMUNITY PARK
KIWANIS, 60625, PASSIVE PARK
BARRETT (JOHN), 60608, NEIGHBORHOOD PARK
CALIFORNIA, 60618, COMMUNITY PARK
SWEET CLOVER, 60644, MINI-PARK
HARRIS (HARRIET), 60637, COMMUNITY PARK
GILL (JOSEPH), 60613, COMMUNITY PARK
JEFFERSON (NANCY), 60612, NEIGHBORHOOD PARK
OGDEN (WILLIAM) PLAZA, 60611, PASSIVE PARK
DREXEL (FRANCIS), 60636, MINI-PARK
BARNARD (ERASTUS), 60643, NEIGHBORHOOD PARK
GOLDBERG (LOUIS), 60626, MINI-PARK
MERRILL (GEORGE), 60617, NEIGHBORHOOD PARK
GOMPERS (SAMUEL), 60630, REGIONAL PARK
MILLER (SAMUEL), 60607, MINI-PARK
JEFFERSON (THOMAS), 60616, NEIGHBORHOOD PARK
O'HALLAREN (BERNARD), 60620, COMMUNITY PARK
DEARBORN (HENRY), 60605, PASSIVE PARK
ECKERSALL (WALTER HERBERT), 60617, NEIGHBORHOOD PARK
LINCOLN (ABRAHAM), 60614, MAGNET PARK
BICKERDIKE (GEORGE) SQUARE, 60622, PASSIVE PARK
ROGERS (PHILLIP) BEACH, 60626, NEIGHBORHOOD PARK
KINZIE (JOHN) PKWY., 60644, PASSIVE PARK
ARMSTRONG (LILLIAN HARDIN), 60653, COMMUNITY PARK
SENKA (EDWARD "DUKE"), 60629, REGIONAL PARK
ROBICHAUX (JOSEPH), 60620, COMMUNITY PARK
SNAPPING TURTLE, 60612, MINI-PARK
CRESCENT, 60643, COMMUNITY PARK
GOUDY (WILLIAM) SQUARE, 60610, MINI-PARK
JACKSON (MAHALIA), 60620, COMMUNITY PARK
MURRAY (DAVID), 60636, NEIGHBORHOOD PARK
PARK NO. 558, 60643, UNIMPROVED PARK
RIVER, 60625, REGIONAL PARK
LAMB (HAROLD), 60643, NEIGHBORHOOD PARK
ELM, 60615, PASSIVE PARK
COLEMAN (BESSIE), 60615, MINI-PARK
BARAGA (FREDERICK), 60608, MINI-PARK
PARK NO. 484, 60638, COMMUNITY PARK
SHERIDAN (PHILIP HENRY), 60607, COMMUNITY PARK
SHERMAN (JOHN), 60609, REGIONAL PARK
ROBERTS (DANIEL) SQUARE, 60630, NEIGHBORHOOD PARK
MASON (ELIZABETH), 60624, NEIGHBORHOOD PARK
PARSONS (LUCY), 60641, UNIMPROVED PARK
